Total Accesses:,7086622
Frames,Missees,Miss Rate
0, 86570, 0.012216
1, 1067718, 0.150667
2, 2677675, 0.377849
3, 3015352, 0.425499
4, 3187648, 0.449812
5, 3319553, 0.468425
6, 3403762, 0.480308
7, 3492641, 0.492850
8, 3638776, 0.513471
9, 3881875, 0.547775
10, 4120565, 0.581457
11, 4335479, 0.611784
12, 4475339, 0.631519
13, 4574514, 0.645514
14, 4668669, 0.658800
15, 4771675, 0.673336
16, 4874829, 0.687892
17, 4967966, 0.701034
18, 5053020, 0.713036
19, 5133659, 0.724416
20, 5214594, 0.735836
21, 5294190, 0.747068
22, 5369769, 0.757733
23, 5438568, 0.767442
24, 5499020, 0.775972
25, 5550319, 0.783211
26, 5593400, 0.789290
27, 5629692, 0.794411
28, 5660445, 0.798751
29, 5686704, 0.802456
30, 5709204, 0.805631
31, 5729407, 0.808482
32, 5747095, 0.810978
33, 5763091, 0.813235
34, 5777744, 0.815303
35, 5791544, 0.817250
36, 5804372, 0.819060
37, 5816580, 0.820783
38, 5828472, 0.822461
39, 5839523, 0.824021
40, 5850264, 0.825536
41, 5860505, 0.826981
42, 5870485, 0.828390
43, 5880509, 0.829804
44, 5890162, 0.831166
45, 5899653, 0.832506
46, 5908994, 0.833824
47, 5918060, 0.835103
48, 5926829, 0.836341
49, 5935496, 0.837564
50, 5943953, 0.838757
51, 5952164, 0.839916
52, 5960433, 0.841082
53, 5968343, 0.842199
54, 5976278, 0.843318
55, 5983870, 0.844390
56, 5991405, 0.845453
57, 5998926, 0.846514
58, 6006322, 0.847558
59, 6013475, 0.848567
60, 6020743, 0.849593
61, 6027905, 0.850603
62, 6034863, 0.851585
63, 6041529, 0.852526
64, 6048352, 0.853489
65, 6055046, 0.854433
66, 6061576, 0.855355
67, 6068090, 0.856274
68, 6074425, 0.857168
69, 6080776, 0.858064
70, 6087030, 0.858947
71, 6093143, 0.859809
72, 6099252, 0.860671
73, 6105264, 0.861520
74, 6111128, 0.862347
75, 6116973, 0.863172
76, 6122720, 0.863983
77, 6128317, 0.864773
78, 6133887, 0.865559
79, 6139498, 0.866350
80, 6144894, 0.867112
81, 6150092, 0.867845
82, 6155402, 0.868595
83, 6160380, 0.869297
84, 6165546, 0.870026
85, 6170305, 0.870698
86, 6175138, 0.871380
87, 6179928, 0.872056
88, 6184637, 0.872720
