Total Accesses:,7086622
Frames,Missees,Miss Rate
0, 120709, 0.017033
1, 1018446, 0.143714
2, 2523483, 0.356091
3, 2812700, 0.396903
4, 2966274, 0.418574
5, 3074363, 0.433826
6, 3153207, 0.444952
7, 3235397, 0.456550
8, 3369812, 0.475517
9, 3583947, 0.505734
10, 3813006, 0.538057
11, 4016174, 0.566726
12, 4175078, 0.589149
13, 4282780, 0.604347
14, 4374886, 0.617344
15, 4469501, 0.630696
16, 4564982, 0.644169
17, 4655212, 0.656901
18, 4737574, 0.668524
19, 4815919, 0.679579
20, 4892048, 0.690322
21, 4967901, 0.701025
22, 5041727, 0.711443
23, 5111215, 0.721248
24, 5174332, 0.730155
25, 5229745, 0.737974
26, 5276856, 0.744622
27, 5316704, 0.750245
28, 5350533, 0.755019
29, 5378756, 0.759001
30, 5402948, 0.762415
31, 5424002, 0.765386
32, 5442221, 0.767957
33, 5458099, 0.770198
34, 5472647, 0.772250
35, 5485642, 0.774084
36, 5497730, 0.775790
37, 5509018, 0.777383
38, 5519574, 0.778872
39, 5529602, 0.780287
40, 5539204, 0.781642
41, 5548607, 0.782969
42, 5557609, 0.784240
43, 5566253, 0.785459
44, 5574420, 0.786612
45, 5582486, 0.787750
46, 5590267, 0.788848
47, 5598135, 0.789958
48, 5605583, 0.791009
49, 5613046, 0.792062
50, 5620239, 0.793077
51, 5627287, 0.794072
52, 5634234, 0.795052
53, 5641061, 0.796016
54, 5647642, 0.796944
55, 5654234, 0.797874
56, 5660588, 0.798771
57, 5666799, 0.799647
58, 5672833, 0.800499
59, 5678834, 0.801346
60, 5684690, 0.802172
61, 5690603, 0.803006
62, 5696284, 0.803808
63, 5701877, 0.804597
64, 5707532, 0.805395
65, 5713057, 0.806175
66, 5718421, 0.806932
67, 5723712, 0.807678
68, 5728896, 0.808410
69, 5734005, 0.809131
70, 5739039, 0.809841
71, 5744080, 0.810553
72, 5748952, 0.811240
73, 5753905, 0.811939
74, 5758764, 0.812625
75, 5763447, 0.813286
76, 5768267, 0.813966
77, 5772909, 0.814621
78, 5777409, 0.815256
79, 5781826, 0.815879
80, 5786266, 0.816506
81, 5790629, 0.817121
82, 5794759, 0.817704
83, 5798929, 0.818292
84, 5802992, 0.818866
85, 5806985, 0.819429
86, 5810935, 0.819987
87, 5814786, 0.820530
88, 5818666, 0.821078
89, 5822290, 0.821589
90, 5825885, 0.822096
91, 5829460, 0.822601
92, 5832931, 0.823090
93, 5836523, 0.823597
94, 5839859, 0.824068
95, 5843226, 0.824543
96, 5846590, 0.825018
97, 5849891, 0.825484
98, 5853081, 0.825934
99, 5856120, 0.826363
100, 5859213, 0.826799
101, 5862316, 0.827237
102, 5865313, 0.827660
103, 5868298, 0.828081
104, 5871324, 0.828508
105, 5874350, 0.828935
106, 5877234, 0.829342
107, 5880237, 0.829766
108, 5883052, 0.830163
109, 5885916, 0.830567
110, 5888708, 0.830961
111, 5891517, 0.831358
112, 5894150, 0.831729
113, 5896910, 0.832119
114, 5899633, 0.832503
115, 5902411, 0.832895
116, 5905120, 0.833277
117, 5907791, 0.833654
118, 5910483, 0.834034
119, 5913123, 0.834406
120, 5915700, 0.834770
121, 5918333, 0.835142
122, 5920888, 0.835502
123, 5923356, 0.835850
124, 5925839, 0.836201
125, 5928288, 0.836546
126, 5930722, 0.836890
127, 5933177, 0.837236
128, 5935594, 0.837577
129, 5938032, 0.837921
130, 5940405, 0.838256
131, 5942826, 0.838598
132, 5945157, 0.838927
133, 5947592, 0.839270
134, 5949997, 0.839610
135, 5952262, 0.839929
136, 5954558, 0.840253
137, 5956795, 0.840569
138, 5959074, 0.840891
139, 5961422, 0.841222
140, 5963619, 0.841532
141, 5965871, 0.841850
142, 5968056, 0.842158
143, 5970275, 0.842471
144, 5972484, 0.842783
145, 5974690, 0.843094
146, 5976910, 0.843407
147, 5979030, 0.843707
148, 5981194, 0.844012
149, 5983205, 0.844296
150, 5985281, 0.844589
151, 5987393, 0.844887
152, 5989485, 0.845182
153, 5991555, 0.845474
154, 5993631, 0.845767
155, 5995718, 0.846061
156, 5997776, 0.846352
157, 5999787, 0.846636
158, 6001757, 0.846914
159, 6003779, 0.847199
160, 6005768, 0.847480
161, 6007690, 0.847751
162, 6009582, 0.848018
163, 6011547, 0.848295
164, 6013540, 0.848576
165, 6015452, 0.848846
166, 6017370, 0.849117
167, 6019214, 0.849377
168, 6021032, 0.849634
169, 6022849, 0.849890
170, 6024686, 0.850149
171, 6026542, 0.850411
172, 6028385, 0.850671
173, 6030181, 0.850925
174, 6031927, 0.851171
175, 6033771, 0.851431
176, 6035654, 0.851697
177, 6037425, 0.851947
178, 6039198, 0.852197
179, 6040908, 0.852438
180, 6042692, 0.852690
181, 6044462, 0.852940
182, 6046202, 0.853185
183, 6047957, 0.853433
184, 6049724, 0.853682
185, 6051461, 0.853927
186, 6053213, 0.854175
187, 6054932, 0.854417
188, 6056533, 0.854643
189, 6058280, 0.854890
190, 6059926, 0.855122
191, 6061576, 0.855355
192, 6063175, 0.855580
193, 6064856, 0.855818
194, 6066510, 0.856051
195, 6068113, 0.856277
196, 6069828, 0.856519
197, 6071407, 0.856742
198, 6073015, 0.856969
199, 6074582, 0.857190
200, 6076129, 0.857408
201, 6077592, 0.857615
202, 6079142, 0.857834
203, 6080685, 0.858051
204, 6082190, 0.858264
205, 6083722, 0.858480
206, 6085174, 0.858685
207, 6086768, 0.858910
208, 6088254, 0.859119
209, 6089767, 0.859333
210, 6091269, 0.859545
211, 6092819, 0.859764
212, 6094313, 0.859974
213, 6095844, 0.860190
214, 6097259, 0.860390
215, 6098836, 0.860613
216, 6100251, 0.860812
217, 6101705, 0.861017
218, 6103189, 0.861227
219, 6104642, 0.861432
220, 6106039, 0.861629
221, 6107427, 0.861825
222, 6108850, 0.862026
223, 6110232, 0.862221
224, 6111677, 0.862425
225, 6113069, 0.862621
226, 6114417, 0.862811
227, 6115850, 0.863013
228, 6117230, 0.863208
229, 6118599, 0.863401
230, 6119976, 0.863596
231, 6121362, 0.863791
232, 6122778, 0.863991
233, 6124130, 0.864182
234, 6125399, 0.864361
235, 6126681, 0.864542
236, 6127960, 0.864722
237, 6129244, 0.864903
238, 6130542, 0.865087
239, 6131890, 0.865277
240, 6133261, 0.865470
241, 6134616, 0.865662
242, 6135917, 0.865845
243, 6137199, 0.866026
244, 6138479, 0.866207
245, 6139754, 0.866387
246, 6141031, 0.866567
247, 6142302, 0.866746
248, 6143542, 0.866921
249, 6144871, 0.867109
250, 6146116, 0.867284
251, 6147460, 0.867474
252, 6148700, 0.867649
253, 6149930, 0.867822
254, 6151210, 0.868003
255, 6152466, 0.868180
256, 6153737, 0.868360
257, 6154932, 0.868528
258, 6156151, 0.868700
259, 6157382, 0.868874
260, 6158642, 0.869052
261, 6159903, 0.869230
262, 6161096, 0.869398
263, 6162293, 0.869567
264, 6163530, 0.869742
265, 6164657, 0.869901
266, 6165858, 0.870070
267, 6166980, 0.870228
268, 6168226, 0.870404
269, 6169382, 0.870567
270, 6170562, 0.870734
271, 6171691, 0.870893
272, 6172899, 0.871064
273, 6174024, 0.871222
274, 6175173, 0.871385
275, 6176348, 0.871550
276, 6177485, 0.871711
277, 6178675, 0.871879
278, 6179770, 0.872033
279, 6180929, 0.872197
280, 6182055, 0.872356
281, 6183235, 0.872522
282, 6184445, 0.872693
283, 6185600, 0.872856
284, 6186756, 0.873019
285, 6187880, 0.873178
286, 6189066, 0.873345
287, 6190233, 0.873510
288, 6191387, 0.873673
289, 6192533, 0.873834
290, 6193661, 0.873993
291, 6194778, 0.874151
292, 6195955, 0.874317
293, 6197069, 0.874474
294, 6198179, 0.874631
295, 6199291, 0.874788
296, 6200408, 0.874945
297, 6201506, 0.875100
298, 6202618, 0.875257
299, 6203754, 0.875418
300, 6204922, 0.875582
301, 6206036, 0.875740
302, 6207135, 0.875895
303, 6208226, 0.876049
304, 6209383, 0.876212
305, 6210515, 0.876372
306, 6211579, 0.876522
307, 6212647, 0.876673
308, 6213782, 0.876833
309, 6214903, 0.876991
310, 6216011, 0.877147
311, 6217058, 0.877295
312, 6218064, 0.877437
313, 6219110, 0.877585
314, 6220214, 0.877740
315, 6221285, 0.877891
316, 6222366, 0.878044
317, 6223436, 0.878195
318, 6224488, 0.878343
319, 6225453, 0.878480
320, 6226523, 0.878631
321, 6227618, 0.878785
322, 6228685, 0.878936
323, 6229729, 0.879083
324, 6230779, 0.879231
325, 6231862, 0.879384
326, 6232889, 0.879529
327, 6233915, 0.879674
328, 6234945, 0.879819
329, 6235969, 0.879964
330, 6236899, 0.880095
331, 6237943, 0.880242
332, 6238964, 0.880386
333, 6239988, 0.880531
334, 6240950, 0.880666
335, 6241960, 0.880809
336, 6242956, 0.880949
337, 6243895, 0.881082
338, 6244863, 0.881219
339, 6245811, 0.881352
340, 6246799, 0.881492
341, 6247737, 0.881624
342, 6248683, 0.881758
343, 6249622, 0.881890
344, 6250599, 0.882028
345, 6251521, 0.882158
346, 6252426, 0.882286
347, 6253435, 0.882428
348, 6254353, 0.882558
349, 6255316, 0.882694
350, 6256291, 0.882831
351, 6257272, 0.882970
352, 6258217, 0.883103
353, 6259177, 0.883238
354, 6260118, 0.883371
355, 6261071, 0.883506
356, 6261986, 0.883635
357, 6262937, 0.883769
358, 6263893, 0.883904
359, 6264828, 0.884036
360, 6265729, 0.884163
361, 6266665, 0.884295
362, 6267598, 0.884427
363, 6268461, 0.884549
364, 6269361, 0.884676
365, 6270275, 0.884804
366, 6271193, 0.884934
367, 6272152, 0.885069
368, 6273063, 0.885198
369, 6273928, 0.885320
370, 6274816, 0.885445
371, 6275679, 0.885567
372, 6276550, 0.885690
373, 6277425, 0.885813
374, 6278303, 0.885937
375, 6279202, 0.886064
376, 6280108, 0.886192
377, 6280924, 0.886307
378, 6281871, 0.886441
379, 6282776, 0.886569
380, 6283680, 0.886696
381, 6284512, 0.886813
382, 6285362, 0.886933
383, 6286261, 0.887060
384, 6287097, 0.887178
385, 6287924, 0.887295
386, 6288809, 0.887420
387, 6289664, 0.887540
388, 6290534, 0.887663
389, 6291397, 0.887785
390, 6292216, 0.887901
391, 6293087, 0.888024
392, 6293929, 0.888142
393, 6294841, 0.888271
394, 6295683, 0.888390
395, 6296574, 0.888516
396, 6297479, 0.888643
397, 6298356, 0.888767
398, 6299152, 0.888879
399, 6300046, 0.889006
400, 6300936, 0.889131
401, 6301860, 0.889261
402, 6302734, 0.889385
403, 6303642, 0.889513
404, 6304490, 0.889633
405, 6305390, 0.889760
406, 6306243, 0.889880
407, 6307061, 0.889995
408, 6307910, 0.890115
409, 6308731, 0.890231
410, 6309593, 0.890353
411, 6310469, 0.890476
412, 6311313, 0.890595
413, 6312112, 0.890708
414, 6312960, 0.890828
415, 6313827, 0.890950
416, 6314680, 0.891071
417, 6315541, 0.891192
418, 6316396, 0.891313
419, 6317246, 0.891433
420, 6318106, 0.891554
421, 6318975, 0.891677
422, 6319810, 0.891794
423, 6320663, 0.891915
424, 6321446, 0.892025
425, 6322246, 0.892138
426, 6323010, 0.892246
427, 6323804, 0.892358
428, 6324631, 0.892475
429, 6325424, 0.892587
430, 6326248, 0.892703
431, 6327088, 0.892821
432, 6327877, 0.892933
433, 6328676, 0.893046
434, 6329485, 0.893160
435, 6330295, 0.893274
436, 6331132, 0.893392
437, 6331915, 0.893503
438, 6332725, 0.893617
439, 6333541, 0.893732
440, 6334353, 0.893847
441, 6335166, 0.893961
442, 6335922, 0.894068
443, 6336661, 0.894172
444, 6337368, 0.894272
445, 6338088, 0.894374
446, 6338863, 0.894483
447, 6339680, 0.894598
448, 6340445, 0.894706
449, 6341239, 0.894818
450, 6341996, 0.894925
451, 6342810, 0.895040
452, 6343535, 0.895142
453, 6344351, 0.895257
454, 6345120, 0.895366
455, 6345970, 0.895486
456, 6346769, 0.895599
457, 6347492, 0.895701
458, 6348255, 0.895808
459, 6348978, 0.895910
460, 6349791, 0.896025
461, 6350546, 0.896132
462, 6351282, 0.896235
463, 6352049, 0.896344
464, 6352807, 0.896451
465, 6353569, 0.896558
466, 6354271, 0.896657
467, 6355006, 0.896761
468, 6355799, 0.896873
469, 6356591, 0.896985
470, 6357336, 0.897090
471, 6358094, 0.897197
472, 6358851, 0.897304
473, 6359585, 0.897407
474, 6360306, 0.897509
475, 6361025, 0.897610
476, 6361724, 0.897709
477, 6362468, 0.897814
478, 6363151, 0.897910
479, 6363867, 0.898011
480, 6364601, 0.898115
481, 6365311, 0.898215
482, 6366040, 0.898318
483, 6366791, 0.898424
484, 6367485, 0.898522
485, 6368312, 0.898639
486, 6369025, 0.898739
487, 6369772, 0.898845
488, 6370493, 0.898946
489, 6371258, 0.899054
490, 6372015, 0.899161
491, 6372793, 0.899271
492, 6373493, 0.899370
493, 6374218, 0.899472
494, 6374924, 0.899572
495, 6375658, 0.899675
496, 6376445, 0.899786
497, 6377211, 0.899894
498, 6377957, 0.900000
499, 6378759, 0.900113
500, 6379499, 0.900217
501, 6380195, 0.900315
502, 6380959, 0.900423
503, 6381693, 0.900527
504, 6382436, 0.900632
505, 6383194, 0.900739
506, 6383880, 0.900835
507, 6384589, 0.900935
508, 6385308, 0.901037
509, 6386069, 0.901144
510, 6386829, 0.901252
511, 6387531, 0.901351
512, 6388220, 0.901448
513, 6388946, 0.901550
514, 6389633, 0.901647
515, 6390353, 0.901749
516, 6391067, 0.901850
517, 6391743, 0.901945
518, 6392421, 0.902041
519, 6393148, 0.902143
520, 6393859, 0.902244
521, 6394571, 0.902344
522, 6395279, 0.902444
523, 6396003, 0.902546
524, 6396755, 0.902652
525, 6397448, 0.902750
526, 6398180, 0.902853
527, 6398917, 0.902957
528, 6399588, 0.903052
529, 6400321, 0.903155
530, 6401068, 0.903261
531, 6401730, 0.903354
532, 6402406, 0.903450
533, 6403156, 0.903555
534, 6403861, 0.903655
535, 6404546, 0.903752
536, 6405283, 0.903856
537, 6406005, 0.903957
538, 6406723, 0.904059
539, 6407422, 0.904157
540, 6408133, 0.904258
541, 6408854, 0.904360
542, 6409564, 0.904460
543, 6410263, 0.904558
544, 6410927, 0.904652
545, 6411588, 0.904745
546, 6412250, 0.904839
547, 6412930, 0.904935
548, 6413579, 0.905026
549, 6414255, 0.905122
550, 6414969, 0.905222
551, 6415668, 0.905321
552, 6416349, 0.905417
553, 6417015, 0.905511
554, 6417679, 0.905605
555, 6418355, 0.905700
556, 6419045, 0.905798
557, 6419739, 0.905896
558, 6420402, 0.905989
559, 6421093, 0.906087
560, 6421737, 0.906177
561, 6422382, 0.906268
562, 6423011, 0.906357
563, 6423725, 0.906458
564, 6424376, 0.906550
565, 6425041, 0.906644
566, 6425670, 0.906732
567, 6426314, 0.906823
568, 6426989, 0.906919
569, 6427674, 0.907015
570, 6428312, 0.907105
571, 6428914, 0.907190
572, 6429542, 0.907279
573, 6430227, 0.907375
574, 6430823, 0.907460
575, 6431432, 0.907546
576, 6432070, 0.907636
577, 6432738, 0.907730
578, 6433369, 0.907819
579, 6434047, 0.907915
580, 6434702, 0.908007
581, 6435342, 0.908097
582, 6436005, 0.908191
583, 6436647, 0.908281
584, 6437241, 0.908365
585, 6437869, 0.908454
586, 6438466, 0.908538
587, 6439087, 0.908626
588, 6439740, 0.908718
589, 6440403, 0.908811
590, 6441055, 0.908903
591, 6441766, 0.909004
592, 6442388, 0.909092
593, 6443022, 0.909181
594, 6443681, 0.909274
595, 6444249, 0.909354
596, 6444888, 0.909444
597, 6445505, 0.909531
598, 6446144, 0.909622
599, 6446791, 0.909713
600, 6447407, 0.909800
601, 6447986, 0.909881
602, 6448578, 0.909965
603, 6449177, 0.910050
604, 6449784, 0.910135
605, 6450381, 0.910219
606, 6450988, 0.910305
607, 6451570, 0.910387
608, 6452169, 0.910472
609, 6452797, 0.910560
610, 6453348, 0.910638
611, 6453974, 0.910726
612, 6454596, 0.910814
613, 6455274, 0.910910
614, 6455848, 0.910991
615, 6456438, 0.911074
616, 6457039, 0.911159
617, 6457649, 0.911245
618, 6458260, 0.911331
619, 6458884, 0.911419
620, 6459504, 0.911507
621, 6460103, 0.911591
622, 6460717, 0.911678
623, 6461291, 0.911759
624, 6461888, 0.911843
625, 6462435, 0.911920
626, 6463053, 0.912008
627, 6463662, 0.912094
628, 6464290, 0.912182
629, 6464898, 0.912268
630, 6465457, 0.912347
631, 6466074, 0.912434
632, 6466647, 0.912515
633, 6467238, 0.912598
634, 6467765, 0.912672
635, 6468329, 0.912752
636, 6468907, 0.912834
637, 6469504, 0.912918
638, 6470099, 0.913002
639, 6470710, 0.913088
640, 6471334, 0.913176
641, 6471949, 0.913263
642, 6472551, 0.913348
643, 6473161, 0.913434
644, 6473759, 0.913518
645, 6474360, 0.913603
646, 6474977, 0.913690
647, 6475535, 0.913769
648, 6476136, 0.913854
649, 6476722, 0.913936
650, 6477259, 0.914012
651, 6477815, 0.914091
652, 6478364, 0.914168
653, 6478946, 0.914250
654, 6479531, 0.914333
655, 6480119, 0.914416
656, 6480669, 0.914493
657, 6481189, 0.914567
658, 6481726, 0.914643
659, 6482266, 0.914719
660, 6482809, 0.914795
661, 6483354, 0.914872
662, 6483889, 0.914948
663, 6484416, 0.915022
664, 6485005, 0.915105
665, 6485590, 0.915188
666, 6486161, 0.915268
667, 6486686, 0.915342
668, 6487229, 0.915419
669, 6487781, 0.915497
670, 6488308, 0.915571
671, 6488849, 0.915648
672, 6489393, 0.915724
673, 6489949, 0.915803
674, 6490547, 0.915887
675, 6491142, 0.915971
676, 6491732, 0.916055
677, 6492310, 0.916136
678, 6492879, 0.916216
679, 6493487, 0.916302
680, 6494068, 0.916384
681, 6494603, 0.916460
682, 6495181, 0.916541
683, 6495729, 0.916619
684, 6496275, 0.916696
685, 6496757, 0.916764
686, 6497305, 0.916841
687, 6497828, 0.916915
688, 6498385, 0.916993
689, 6498952, 0.917073
690, 6499476, 0.917147
691, 6499988, 0.917220
692, 6500548, 0.917299
693, 6501047, 0.917369
694, 6501562, 0.917442
695, 6502113, 0.917519
696, 6502640, 0.917594
697, 6503264, 0.917682
698, 6503778, 0.917754
699, 6504314, 0.917830
700, 6504857, 0.917907
701, 6505408, 0.917984
702, 6505911, 0.918055
703, 6506444, 0.918131
704, 6506989, 0.918207
705, 6507516, 0.918282
706, 6508014, 0.918352
707, 6508560, 0.918429
708, 6509123, 0.918509
709, 6509642, 0.918582
710, 6510175, 0.918657
711, 6510694, 0.918730
712, 6511194, 0.918801
713, 6511751, 0.918879
714, 6512217, 0.918945
715, 6512704, 0.919014
716, 6513177, 0.919081
717, 6513736, 0.919160
718, 6514292, 0.919238
719, 6514825, 0.919313
720, 6515351, 0.919387
721, 6515856, 0.919459
722, 6516423, 0.919539
723, 6516949, 0.919613
724, 6517490, 0.919689
725, 6518013, 0.919763
726, 6518522, 0.919835
727, 6519068, 0.919912
728, 6519627, 0.919991
729, 6520137, 0.920063
730, 6520620, 0.920131
731, 6521094, 0.920198
732, 6521608, 0.920270
733, 6522113, 0.920342
734, 6522639, 0.920416
735, 6523114, 0.920483
736, 6523632, 0.920556
737, 6524137, 0.920627
738, 6524627, 0.920696
739, 6525125, 0.920767
740, 6525641, 0.920839
741, 6526128, 0.920908
742, 6526625, 0.920978
743, 6527132, 0.921050
744, 6527606, 0.921117
745, 6528111, 0.921188
746, 6528647, 0.921264
747, 6529163, 0.921336
748, 6529655, 0.921406
749, 6530138, 0.921474
750, 6530644, 0.921545
751, 6531130, 0.921614
752, 6531643, 0.921686
753, 6532150, 0.921758
754, 6532613, 0.921823
755, 6533099, 0.921892
756, 6533582, 0.921960
757, 6534079, 0.922030
758, 6534561, 0.922098
759, 6535032, 0.922165
760, 6535522, 0.922234
761, 6535993, 0.922300
762, 6536480, 0.922369
763, 6536980, 0.922439
764, 6537480, 0.922510
765, 6537966, 0.922579
